method,w_sbert,w_tfidf,w_bm25,prec_mean,prec_std,ndcg_mean,ndcg_std
"Hybrid (0.5,0.3,0.2)",0.5,0.3,0.2,0.27999999999999997,0.09797958971132713,1.0,0.0
Without SBERT,0.0,0.6,0.4,0.27999999999999997,0.09797958971132713,1.0,0.0
Without TF-IDF,0.7,0.0,0.3,0.27999999999999997,0.09797958971132713,1.0,0.0
Without BM25,0.6,0.4,0.0,0.27999999999999997,0.09797958971132713,1.0,0.0
SBERT only,1.0,0.0,0.0,0.27999999999999997,0.09797958971132713,1.0,0.0
TF-IDF only,0.0,1.0,0.0,0.27999999999999997,0.09797958971132713,1.0,0.0
BM25 only,0.0,0.0,1.0,0.27999999999999997,0.09797958971132713,1.0,0.0
